country,year,value
Turkiye,1986,1920
Turkiye,1987,2200
Turkiye,1988,4450
Turkiye,1989,33067
Turkiye,1990,28000
Turkiye,1991,30462
Turkiye,1992,28477
Turkiye,1993,23267
Turkiye,1994,24927
Turkiye,1995,12841
Turkiye,1996,8166
Turkiye,1997,2448
Turkiye,1998,2529
Turkiye,1999,2810
Turkiye,2000,3096
Turkiye,2001,3466
Turkiye,2002,3302
Turkiye,2003,2488
Turkiye,2004,3029
Turkiye,2005,2395
Turkiye,2006,2624
Turkiye,2007,6941
Turkiye,2008,11090
Turkiye,2009,10339
Turkiye,2010,10025
Turkiye,2011,14457
Turkiye,2012,267063
Turkiye,2013,609931
Turkiye,2014,1587365
Turkiye,2015,2541348
Turkiye,2016,2869419
Turkiye,2017,3480350
Turkiye,2018,3681688
Turkiye,2019,3579531
Turkiye,2020,3652362
Turkiye,2021,3759817
Turkiye,2022,3568259
Turkiye,2023,3251127
Turkiye,2024,2940735
United States,1960,500000
United States,1961,500000
United States,1962,500000
United States,1963,500000
United States,1964,500000
United States,1965,510000
United States,1966,500000
United States,1967,480000
United States,1968,498000
United States,1969,500000
United States,1970,500000
United States,1971,530000
United States,1972,530000
United States,1973,530000
United States,1974,530000
United States,1975,530000
United States,1976,500000
United States,1977,684700
United States,1978,734000
United States,1979,734000
United States,1980,403684
United States,1981,537375
United States,1982,620257
United States,1983,655532
United States,1984,626909
United States,1985,492806
United States,1986,398633
United States,1987,365726
United States,1988,377769
United States,1989,411496
United States,1990,464887
United States,1991,513885
United States,1992,579938
United States,1993,623056
United States,1994,631046
United States,1995,623279
United States,1996,607005
United States,1997,563813
United States,1998,533951
United States,1999,521134
United States,2000,508209
United States,2001,515851
United States,2002,485173
United States,2003,452536
United States,2004,420788
United States,2005,379330
United States,2006,843434
United States,2007,281154
United States,2008,279468
United States,2009,275393
United States,2010,264505
United States,2011,264752
United States,2012,262006
United States,2013,263653
United States,2014,267214
United States,2015,273198
United States,2016,272963
United States,2017,287135
United States,2018,313242
United States,2019,341715
United States,2020,340846
United States,2021,339179
United States,2022,363059
United States,2023,409202
United States,2024,435333
